,mecid,committee_name,candidate_name,party,office_sought,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness,prefix,month_num
49,C190903,Jacque Sample for Missouri,Jacque Sample,D,State Representative - District 44 - Missouri House of Representatives,April Quarterly Report,2020,Full Disclosure,7301.0,3428.65,0.0,0.0,3468.65,40.0,10769.65,5187.04,756.98,0.0,0.0,756.98,5944.02,0.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1764.06,3428.65,806.98,0.0,806.98,4385.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
50,C190903,Jacque Sample for Missouri,Jacque Sample,D,State Representative - District 44 - Missouri House of Representatives,July Quarterly Report,2020,Full Disclosure,10769.65,2951.0,0.0,0.0,2996.0,45.0,13765.65,5944.02,1303.3,0.0,0.0,1303.3,7247.32,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4385.73,2951.0,1303.3,0.0,1303.3,6033.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
36,C180718,Friends Of Adrian Plank,Adrian Plank,D,State Representative - District 47 - Missouri House of Representatives,AMENDED January Quarterly Report,2020,Full Disclosure,9401.04,4677.15,0.0,0.0,4677.15,0.0,14078.19,3328.28,2400.22,0.0,0.0,2400.22,5728.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6072.76,4677.15,2400.22,0.0,2400.22,8349.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
38,C180718,Friends Of Adrian Plank,Adrian Plank,D,State Representative - District 47 - Missouri House of Representatives,April Quarterly Report,2020,Full Disclosure,14078.19,4884.11,0.0,0.0,5197.26,313.15,19275.45,5728.5,4439.87,0.0,0.0,4439.87,10168.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8349.69,4884.11,4439.87,0.0,4439.87,8793.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
37,C180718,Friends Of Adrian Plank,Adrian Plank,D,State Representative - District 47 - Missouri House of Representatives,July Quarterly Report,2020,Full Disclosure,19275.45,5395.54,0.0,0.0,5395.54,0.0,24670.99,10168.37,3935.24,0.0,0.0,3935.24,14103.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8793.93,5395.54,3935.24,0.0,3935.24,10254.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
33,C141090,Friends For Chuck Basye,Charles Basye,R,State Representative - District 47 - Missouri House of Representatives,January Quarterly Report,2020,Full Disclosure,191216.53,8298.25,0.0,0.0,8298.25,0.0,199514.78,193351.99,7100.22,0.0,0.0,7100.22,200452.21,7919.53,0.0,0.0,0.0,0.0,7919.53,0.0,0.0,0.0,0.0,20714.77,8298.25,7100.22,0.0,7100.22,21912.8,9.0,0.0,0.0,0.0,0.0,0.0,9.0,C,1
32,C141090,Friends For Chuck Basye,Charles Basye,R,State Representative - District 47 - Missouri House of Representatives,April Quarterly Report,2020,Full Disclosure,199514.78,4050.0,0.0,0.0,4050.0,0.0,203564.78,200452.21,5832.45,0.0,0.0,5832.45,206284.66,7919.53,0.0,0.0,0.0,0.0,7919.53,0.0,0.0,0.0,0.0,21912.8,4050.0,5832.45,0.0,5832.45,20130.35,9.0,0.0,0.0,0.0,0.0,0.0,9.0,C,4
34,C141090,Friends For Chuck Basye,Charles Basye,R,State Representative - District 47 - Missouri House of Representatives,July Quarterly Report,2020,Full Disclosure,203564.78,13221.0,0.0,0.0,13221.0,0.0,216785.78,206284.66,1939.51,0.0,0.0,1939.51,208224.17,7919.53,0.0,0.0,0.0,0.0,7919.53,0.0,0.0,0.0,0.0,20130.35,13221.0,1939.51,0.0,1939.51,31411.84,9.0,0.0,0.0,0.0,0.0,0.0,9.0,C,6
35,C141090,Friends For Chuck Basye,Charles Basye,R,State Representative - District 47 - Missouri House of Representatives,October Quarterly Report,2020,Full Disclosure,231696.29,7641.8,0.0,0.0,7641.8,0.0,239338.09,218372.29,801.17,0.0,0.0,801.17,219173.46,7919.13,0.0,0.0,0.0,0.0,7919.13,0.0,0.0,0.0,0.0,36074.23,7641.8,801.17,0.0,801.17,42914.86,9.0,0.0,0.0,0.0,0.0,0.0,9.0,C,10
42,C190885,Friends of Kari L Chesney,Kari Chesney,D,State Representative - District 50 - Missouri House of Representatives,January Quarterly Report,2020,Full Disclosure,7832.58,2138.84,0.0,0.0,2523.19,384.35,10355.77,2877.23,1485.34,0.0,0.0,1485.34,4362.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.82,39.82,4294.18,2138.84,1525.16,0.0,1525.16,4907.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
43,C190885,Friends of Kari L Chesney,Kari Chesney,D,State Representative - District 50 - Missouri House of Representatives,April Quarterly Report,2020,Full Disclosure,10355.77,2004.0,0.0,0.0,2254.0,250.0,12609.77,4362.57,258.33,0.0,0.0,258.33,4620.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88,56.88,4907.86,2004.0,262.71,52.5,315.21,6596.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
44,C190885,Friends of Kari L Chesney,Kari Chesney,D,State Representative - District 50 - Missouri House of Representatives,July Quarterly Report,2020,Full Disclosure,12609.77,3194.45,0.0,136.0,3757.45,427.0,16367.22,4620.9,714.43,0.0,0.0,714.43,5335.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6596.65,3330.45,714.43,0.0,714.43,9212.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
45,C161082,Friends Of Sara Walsh,Sara Walsh,R,State Representative - District 50 - Missouri House of Representatives,January Quarterly Report,2020,Full Disclosure,6215.0,13840.0,0.0,0.0,15198.27,1358.27,21413.27,8052.05,7169.23,0.0,0.0,7169.23,15221.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4702.45,13840.0,7169.23,0.0,7169.23,11373.22,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,C,1
46,C161082,Friends Of Sara Walsh,Sara Walsh,R,State Representative - District 50 - Missouri House of Representatives,April Quarterly Report,2020,Full Disclosure,21413.27,2220.0,0.0,0.0,2220.0,0.0,23633.27,15221.28,712.52,0.0,0.0,712.52,15933.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11373.22,2220.0,712.52,0.0,712.52,12880.7,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,C,4
47,C161082,Friends Of Sara Walsh,Sara Walsh,R,State Representative - District 50 - Missouri House of Representatives,July Quarterly Report,2020,Full Disclosure,23633.27,12902.2,0.0,75.19,13056.91,79.52,36690.18,15933.8,2436.99,0.0,0.0,2436.99,18370.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12880.7,12977.39,2436.99,0.0,2436.99,23421.1,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,C,6
48,C161082,Friends Of Sara Walsh,Sara Walsh,R,State Representative - District 50 - Missouri House of Representatives,October Quarterly Report,2020,Full Disclosure,49151.52,15340.0,0.0,0.0,16305.0,965.0,65456.52,22665.45,2859.89,0.0,0.0,2859.89,25525.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30415.44,15340.0,2859.89,0.0,2859.89,42895.55,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,C,10
39,C111215,Friends Of Caleb Rowden,CALEB ROWDEN,R,State Senator - District 19 - Missouri State Senate,AMENDED January Quarterly Report,2020,Full Disclosure,416335.82,64400.0,0.0,0.0,64400.0,0.0,480735.82,259979.9,19635.54,0.0,0.0,19635.54,279615.44,17567.2,1500.0,0.0,0.0,1500.0,19067.2,0.0,0.0,0.0,0.0,161563.41,64400.0,21135.54,0.0,21135.54,204827.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
41,C111215,Friends Of Caleb Rowden,CALEB ROWDEN,R,State Senator - District 19 - Missouri State Senate,April Quarterly Report,2020,Full Disclosure,480735.82,6900.0,0.0,0.0,6900.0,0.0,487635.82,279615.44,21329.73,0.0,0.0,21329.73,300945.17,19067.2,0.0,0.0,0.0,0.0,19067.2,0.0,0.0,0.0,0.0,204827.87,6900.0,21329.73,0.0,21329.73,190398.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
40,C111215,Friends Of Caleb Rowden,CALEB ROWDEN,R,State Senator - District 19 - Missouri State Senate,July Quarterly Report,2020,Full Disclosure,487635.82,57106.0,0.0,0.0,57106.0,0.0,544741.82,300945.17,10241.83,0.0,0.0,10241.83,311187.0,19067.2,0.0,0.0,0.0,0.0,19067.2,0.0,0.0,0.0,0.0,190398.14,57106.0,10241.83,0.0,10241.83,237262.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
14,C201434,Citizens for Coyne,James Coyne,W,State Senator - District 19 - Missouri State Senate,October Quarterly Report,2020,Full Disclosure,0.0,328.4,0.0,0.0,328.4,0.0,328.4,0.0,231.4,0.0,0.0,231.4,231.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.4,231.4,0.0,231.4,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,10
3,C171117,Baker For Missouri,Judy Baker,D,State Senator - District 19 - Missouri State Senate,January Quarterly Report,2020,Full Disclosure,0.0,41586.0,0.0,0.0,42996.0,1410.0,42996.0,0.0,3820.77,0.0,0.0,3820.77,3820.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5398.99,41586.0,3820.77,0.0,3820.77,43164.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
4,C171117,Baker For Missouri,Judy Baker,D,State Senator - District 19 - Missouri State Senate,April Quarterly Report,2020,Full Disclosure,42996.0,48568.0,0.0,0.0,49394.0,826.0,92390.0,3820.77,11010.59,476.0,3402.0,14888.59,18709.36,0.0,920.0,0.0,0.0,920.0,920.0,0.0,0.0,0.0,0.0,43164.22,48568.0,11930.59,0.0,11930.59,79801.63,0.0,0.0,3402.0,0.0,0.0,0.0,3402.0,C,4
5,C171117,Baker For Missouri,Judy Baker,D,State Senator - District 19 - Missouri State Senate,July Quarterly Report,2020,Full Disclosure,92390.0,75465.0,0.0,2.0,75467.0,0.0,167857.0,18709.36,16683.82,343.42,6143.5,23170.74,41880.1,920.0,0.0,0.0,0.0,0.0,920.0,0.0,3402.0,0.0,3402.0,79801.63,75467.0,20085.82,0.0,20085.82,135182.81,3402.0,0.0,6143.5,0.0,0.0,0.0,6143.5,C,6
53,C201264E,Joseph Civettini,Joseph Civettini,G,State Treasurer - Office of the State Treasurer,July Quarterly Report,2020,Limited Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE,6
52,C201264E,Joseph Civettini,Joseph Civettini,G,State Treasurer - Office of the State Treasurer,October Quarterly Report,2020,Limited Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE,10
56,C201258E,"Nicholas ""Nick"" Kasoff",Nicholas Kasoff,L,State Treasurer - Office of the State Treasurer,July Quarterly Report,2020,Limited Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE,6
57,C201258E,"Nicholas ""Nick"" Kasoff",Nicholas Kasoff,L,State Treasurer - Office of the State Treasurer,October Quarterly Report,2020,Limited Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE,10
29,C121051,Fitzpatrick For Missouri,SCOTT FITZPATRICK,R,State Treasurer - Office of the State Treasurer,AMENDED January Quarterly Report,2020,Full Disclosure,350157.17,35520.0,0.0,0.0,35520.0,0.0,385677.17,104904.51,15562.31,0.0,0.0,15562.31,120466.82,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,241851.44,35520.0,15562.31,0.0,15562.31,261809.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
31,C121051,Fitzpatrick For Missouri,SCOTT FITZPATRICK,R,State Treasurer - Office of the State Treasurer,AMENDED April Quarterly Report,2020,Full Disclosure,385427.17,14110.0,0.0,0.0,14110.0,0.0,399537.17,120424.77,18339.79,0.0,0.0,18339.79,138764.56,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,261809.13,14110.0,18339.79,0.0,18339.79,257579.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
30,C121051,Fitzpatrick For Missouri,SCOTT FITZPATRICK,R,State Treasurer - Office of the State Treasurer,July Quarterly Report,2020,Full Disclosure,399537.17,27250.0,0.0,0.0,27250.0,0.0,426787.17,138764.56,24794.09,0.0,0.0,24794.09,163558.65,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,257579.34,27250.0,24794.09,0.0,24794.09,260035.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
15,C190974,Citizens for Vicki Lorenz Englund,Vicki Englund,D,State Treasurer - Office of the State Treasurer,January Quarterly Report,2020,Full Disclosure,5225.0,15559.2,0.0,0.0,20168.91,4609.71,25393.91,582.34,5249.05,0.0,0.0,5249.05,5831.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4642.66,15559.2,5249.05,0.0,5249.05,14952.81,4000.0,0.0,0.0,0.0,0.0,0.0,4000.0,C,1
16,C190974,Citizens for Vicki Lorenz Englund,Vicki Englund,D,State Treasurer - Office of the State Treasurer,April Quarterly Report,2020,Full Disclosure,25393.91,23192.14,0.0,0.0,23389.64,197.5,48783.55,5831.39,10886.15,0.0,0.0,10886.15,16717.54,0.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,14952.81,23192.14,11086.15,0.0,11086.15,27058.8,4000.0,0.0,0.0,0.0,0.0,0.0,4000.0,C,4
17,C190974,Citizens for Vicki Lorenz Englund,Vicki Englund,D,State Treasurer - Office of the State Treasurer,AMENDED July Quarterly Report,2020,Full Disclosure,48783.55,31597.4,0.0,0.0,32338.98,741.58,81122.53,16717.54,37839.0,0.0,0.0,37839.0,54556.54,200.0,3000.0,0.0,0.0,3000.0,3200.0,0.0,0.0,0.0,0.0,26854.86,31597.4,40839.0,0.0,40839.0,17613.26,4000.0,0.0,0.0,0.0,0.0,0.0,4000.0,C,6
